AÑO;MES;ID;TIPOEDIFICIO;EDIFICIO;DIRECCION;DISTRITO;CÓDIGO DISTRITO;BARRIO;CÓDIGO BARRIO;COORDENADA-X;COORDENADA-Y;LONGITUD;LATITUD;SENSOR;TIPO;CLASE;GRUPO;UNIDADES;CONSUMO
2024;4;;Centros culturales y bibliotecas;CC Buero Vallejo y Biblioteca Canillejas;CALLE  BOLTAÑA,  27  28022  MADRID;SAN BLAS - CANILLEJAS;20;CANILLEJAS;207;448118;4477495,3;-3.6118056520396484;40.44649399643845;[CC Buero Vallejo y Biblioteca Canillejas][1093] Electricidad General (Activa);EXTERNO;Energía activa;;kWh;6003,002441
2024;4;;Centros culturales y bibliotecas;CC Buero Vallejo y Biblioteca Canillejas;CALLE  BOLTAÑA,  27  28022  MADRID;SAN BLAS - CANILLEJAS;20;CANILLEJAS;207;448118;4477495,3;-3.6118056520396484;40.44649399643845;[CC Buero Vallejo y Biblioteca Canillejas][1093] [B] Electricidad General (Reactiva);EXTERNO;Energía Reactiva;;kVArh;610,0033569
2024;4;;Centros culturales y bibliotecas;CC Buero Vallejo y Biblioteca Canillejas;CALLE  BOLTAÑA,  27  28022  MADRID;SAN BLAS - CANILLEJAS;20;CANILLEJAS;207;448118;4477495,3;-3.6118056520396484;40.44649399643845;[CC Buero Vallejo y Biblioteca Canillejas][1093] Gas General;EXTERNO;Gas;;kWh;SIN DATOS O INFORMACIÓN INCOMPLETA
2024;4;;Centros culturales y bibliotecas;CC Eduardo Chillida y Biblioteca Miguel Delibes;CALLE ARROYO BELINCOSO, 11 (JUNTO A CENTRO CULTURAL EDUARDO CHILLIDA) 28030 MADRID;MORATALAZ;14;MEDIA LEGUA;144;444589,53;4473440,92;-3.6530587077141;40.4097421858525;[CC Eduardo Chillida y Biblioteca Miguel Delibes][1272] Interruptor General;EXTERNO;Energía activa;;kWh;32450,64648
2024;4;;Centros culturales y bibliotecas;CC Hortaleza;CALLE  SANTA VIRGILIA,  15  28033  MADRID ;HORTALEZA;16;PINAR DEL REY;164;445627,6;4480911,3;-3.641464889372545;40.47710776171696;[CC Hortaleza][0666] Electricidad General (Activa);EXTERNO;Energía activa;;kWh;4574,600586
2024;4;;Centros culturales y bibliotecas;CC Hortaleza;CALLE  SANTA VIRGILIA,  15  28033  MADRID ;HORTALEZA;16;PINAR DEL REY;164;445627,6;4480911,3;-3.641464889372545;40.47710776171696;[CC Hortaleza][0666] [B] Electricidad General (Reactiva);EXTERNO;Energía Reactiva;;kVArh;1171,799561
2024;4;;Centros culturales y bibliotecas;CC Hortaleza;CALLE  SANTA VIRGILIA,  15  28033  MADRID ;HORTALEZA;16;PINAR DEL REY;164;445627,6;4480911,3;-3.641464889372545;40.47710776171696;[CC Hortaleza][0666] Gas General;EXTERNO;Gas;;kWh;979
2024;4;;Centros culturales y bibliotecas;CC José Luis López Vázquez;CALLE  FEBRERO,  4  28022  MADRID;SAN BLAS - CANILLEJAS;20;REJAS;206;451675;4477517,4;-3.5698646013736743;40.44690731888909;[CC José Luis López Vázquez][2074] Electricidad General (Activa);EXTERNO;Energía activa;;kWh;4402,005371
2024;4;;Centros culturales y bibliotecas;CC José Luis López Vázquez;CALLE  FEBRERO,  4  28022  MADRID;SAN BLAS - CANILLEJAS;20;REJAS;206;451675;4477517,4;-3.5698646013736743;40.44690731888909;[CC José Luis López Vázquez][2074] [B] Electricidad General (Reactiva);EXTERNO;Energía Reactiva;;kVArh;7
2024;4;;Centros culturales y bibliotecas;CC Julio Cortázar;CALLE  ANTONIO MACHADO,  20  28035  MADRID;MONCLOA - ARAVACA;9;VALDEZARZA;94;439050,4;4479824,3;-3.7189495163595185;40.4668588125205;[CC Julio Cortázar][1029] Electricidad General (Activa);EXTERNO;Energía activa;;kWh;3625,301514
2024;4;;Centros culturales y bibliotecas;CC Julio Cortázar;CALLE  ANTONIO MACHADO,  20  28035  MADRID;MONCLOA - ARAVACA;9;VALDEZARZA;94;439050,4;4479824,3;-3.7189495163595185;40.4668588125205;[CC Julio Cortázar][1029] [B] Electricidad General (Reactiva);EXTERNO;Energía Reactiva;;kVArh;252,5003662
2024;4;;Centros culturales y bibliotecas;CC Las Californias;CALLE  LUIS PEIDRO,  2  28007  MADRID;RETIRO;3;ADELFAS;32;442868,5;4472061,8;-3.6732178660858015;40.3972017655311;[CC Las Californias][1777] Electricidad General (Activa);EXTERNO;Energía activa;;kWh;5765,006836
2024;4;;Centros culturales y bibliotecas;CC Las Californias;CALLE  LUIS PEIDRO,  2  28007  MADRID;RETIRO;3;ADELFAS;32;442868,5;4472061,8;-3.6732178660858015;40.3972017655311;[CC Las Californias][1777] [B] Electricidad General (Reactiva);EXTERNO;Energía Reactiva;;kVArh;708,9988403
2024;4;;Centros culturales y bibliotecas;CC Lavapiés;CALLE  OLIVAR,  46  28012  MADRID;CENTRO;1;EMBAJADORES;12;440547,8;4473482,4;-3.700694040366881;40.40983712884801;[CC Lavapiés][1045] Electricidad General (Activa);EXTERNO;Energía activa;;kWh;2706,798096
2024;4;;Centros culturales y bibliotecas;CC Lavapiés;CALLE  OLIVAR,  46  28012  MADRID;CENTRO;1;EMBAJADORES;12;440547,8;4473482,4;-3.700694040366881;40.40983712884801;[CC Lavapiés][1045] [B] Electricidad General (Reactiva);EXTERNO;Energía Reactiva;;kVArh;SIN DATOS O INFORMACIÓN INCOMPLETA
