TITLE,NEIGHBORHOOD,SQUARE_METERS,NUM_OF_ROOMS,ADDRESS,DISTRICT,RENT_PRICE,RENT_PRICE_BY_SQ_METER,RENT_BY_ROOM,ENERGY_CERTIFICATE,uuid,uuid2,uuid3,uuid4
"Piso en venta en calle la del Soto del Parral, 59",LOS ANGELES,74,3,Calle la del Soto del Parral 59,BARAJAS,702,9,234,,69104b7e-f3ad-4d6d-bd71-7835e82f24cc,caafef6e-bca8-41ee-a4ab-501268cc9cb4,4cd183c0-7123-4f9b-b7b9-f917610416f0,b9428a54-e723-406e-ae6e-898c7577e157
"Dúplex en venta en calle Estefanita, 6",BUTARQUE,125,3,Calle Estefanita 6,BARAJAS,1128,9,376,F,61973047-1a50-4df2-8fac-dc818e42c44f,8e214530-cf62-4534-a03e-8e583dce52a8,c3219ac3-84a7-4af5-8fe4-94a800204a93,e012cf29-2a28-4477-85f8-b54856a41f38
Piso en venta en calle Berrocal,BUTARQUE,126,4,Calle Berrocal,BARAJAS,1135,9,283,,1c99e33c-d66e-4cb4-bf6e-5dba4c31736d,49707e12-ebcb-4dd2-a48d-1249ced6aa5f,500e7b97-92a8-4da3-b798-dcb2c4dab0ff,f192c45d-10d2-465e-ad6c-a3308978bf50
"Ático en venta en calle Euskalduna, 14",BUTARQUE,158,3,Calle Euskalduna 14,BARAJAS,1172,7,390,,edbc805b-1271-4245-ba5e-ac56d527d8c8,ddff8ddd-d27a-49f7-8503-b8ab31528162,b35c743c-94d9-4ee6-91b0-2976d1e97109,1aa0502d-3a40-4c8a-b930-4c8b3ef7ae0e
Piso en venta en Los Rosales,VILLAVERDE,65,2,,BARAJAS,604,9,302,G,ed772194-30c6-460c-8b81-38839f954567,88cb44b6-309f-4ada-8bb3-1e97c6e716df,b5138f1a-bf08-4230-be31-683a81606a26,b68b8e8b-db16-427f-ad44-a8b82d35db19
Piso en venta en calle Alcocer,LOS ANGELES,108,3,Calle Alcocer,BARAJAS,847,7,282,,8c72ed59-0800-4578-8658-15aa746cd2eb,788180aa-2d01-461b-bc8f-771fa09b9925,f7e78571-2676-4727-8312-e80747f77c37,af570c0c-80e7-4028-a8e1-4e01f5c1c495
Piso en venta en San Andrés,VILLAVERDE,62,2,,BARAJAS,638,10,319,E,7fb67c09-088e-435d-9c88-e55c8016a0ed,87a75cc8-68a8-45b0-bada-b60ee3ef6152,f5b1331f-d835-46de-b209-3c236bf47575,52e04aea-4680-4273-b448-e0237d2b6268
Piso en venta en calle Topacio,LOS ROSALES,51,2,Calle Topacio,BARAJAS,492,9,246,,b49a85a9-d3b9-437d-8c1f-037ccdf7a074,eae07779-433e-4b30-b721-e958a2b04750,336afa1a-5cf9-4892-a9c7-10b745d44669,daaf6d4e-3bcb-4829-b8e0-c94a05c73ef5
"Piso en venta en calle Calcio, 15",BUTARQUE,112,3,Calle Calcio 15,BARAJAS,1172,10,390,E,523448f2-d74e-4107-8dcb-739f229410be,87c48674-a0c4-4ea9-a1fd-d9e839dfe7e9,41ca9557-838f-4805-88b7-53e4429cdb8c,856387e4-e779-4197-8a67-3e22b0501e29
"Piso en venta en calle Camas, 2",BUTARQUE,109,3,Calle Camas 2,BARAJAS,968,8,322,,5f9d6419-3dfc-4ada-b123-fbce04c4e26b,9ec8561a-bb33-46a1-88c7-0533fddd759f,53c43799-5371-4bf5-bb91-90ab440852ce,233a7f13-5bb6-45cb-81e3-af41bae84f2e
"Piso en venta en calle Camas, 2",BUTARQUE,107,3,Calle Camas 2,BARAJAS,940,8,313,,5b590d54-479a-46c2-9fdd-ef6aa94d2152,2bdc1947-8d52-46b5-8364-db25c75b5a8c,630e0c36-358d-4984-8705-8115eca40b21,3c6ee84a-7e49-44f8-b243-ea33cd4d0b5e
"Piso en venta en calle Camas, 2",BUTARQUE,76,2,Calle Camas 2,BARAJAS,790,10,395,,3ed0ab67-4ce5-4351-b04c-51218bcd8973,c4b8961f-54cb-43e9-83a9-ec686a7a16da,7d88787b-b2b5-4fed-8b7f-0ec9468325c7,d5550ca4-bc93-44fa-a871-734aeab98378
"Piso en venta en calle Camas, 2",BUTARQUE,105,3,Calle Camas 2,BARAJAS,933,8,311,,b3c5e5d4-ef26-4f8f-9fe2-5239dae4d9e8,cad28e47-b88b-4263-b9d8-60aec193db5d,19123bef-5f90-4f4f-b605-d3f2d111af3f,da58ed0b-bcac-45cd-8c3b-80818f007a8c
"Piso en venta en calle Camas, 2",BUTARQUE,109,3,Calle Camas 2,BARAJAS,982,9,327,,f3341b4b-6164-4bec-8a78-e729dcd9fbd8,cc535292-39b1-4a3d-9398-a04d0f6cfb9d,267a4459-8a62-4662-8ab9-001503f9472e,4a6de0d1-7f0e-4d76-a709-925b43924be0
"Piso en venta en calle Camas, 2",BUTARQUE,108,3,Calle Camas 2,BARAJAS,974,9,324,,746f5beb-7a2e-4c14-8c23-cdaf583d5a02,ad37688a-b288-4a8e-8390-a5f1e1d9b73e,c1819df0-f3ef-406a-aee9-42a6a7ffb9ed,ce609fa4-551b-4b5a-a37a-f2d53f1e2f46
"Piso en venta en calle Camas, 2",BUTARQUE,109,3,Calle Camas 2,BARAJAS,1014,9,338,,57f58853-0ba1-4703-9257-93c5f8c56d1a,5509d94d-f046-4425-bb38-ed70080da3d0,12a8a7fd-c23d-42d3-91db-a44f66f0533e,4ed64fa7-4262-4f50-b5c2-2575ffb14f02
"Piso en venta en calle Camas, 2",BUTARQUE,76,2,Calle Camas 2,BARAJAS,793,10,396,,2e2a1082-4ed2-4017-b2d9-8ef13a407340,d7efac45-1427-46ad-939b-50d920a94e80,2956c536-fe98-4138-a787-6de93c74882a,9bc0ff1f-c708-4bb6-8dae-36692b6410cc
"Piso en venta en calle Camas, 2",BUTARQUE,76,2,Calle Camas 2,BARAJAS,783,10,391,,db74c529-302a-47de-afdb-40b6fdd644fb,14baedbf-b088-4d78-8332-2f30d4f7e88f,a628e33d-0985-4eef-8ebc-560f86068b40,f86b0ecc-41e0-407c-85bd-381b5b4e7a8c
"Piso en venta en calle Camas, 2",BUTARQUE,108,3,Calle Camas 2,BARAJAS,970,8,323,,3abcc371-c43d-46cf-aab6-2edfa901f9e3,959ad80e-13b4-4642-a10c-87bc3db05d0c,ac8f74c2-edd2-4099-8dd1-b40caf0fc5f4,55930950-0b81-4e0a-804f-f03e5d534406
"Piso en venta en calle Camas, 2",BUTARQUE,76,2,Calle Camas 2,BARAJAS,799,10,399,,7f41f589-bbc4-48ce-92ce-a11e59e68e22,832d2db1-97ed-47f4-b6a7-14f74677ae72,989a5cd6-4a61-4b40-acb8-06f55ff3bddb,86a3fc8f-9495-4c70-9c90-23eddc268a14
"Piso en venta en calle Camas, 2",BUTARQUE,109,3,Calle Camas 2,BARAJAS,978,8,326,,ea06b765-ad42-4883-b164-d7c9e3cea7de,37993b94-7d79-4235-b2e6-3a14c5508fe5,a7d7ffaf-03fe-4abf-af19-9a6acec4609e,dd6d785e-9390-4847-95dd-bf6fe5b8872c
"Piso en venta en calle Camas, 2",BUTARQUE,108,3,Calle Camas 2,BARAJAS,1011,9,337,,a77cb0b4-e334-452a-88d8-a4f1fc204800,c05382d3-c175-403c-a4e1-771feff325ad,a9e66f20-9aed-4186-b408-cd4e77733ae4,ff62219c-2319-47b6-a748-705c6871b5b7
"Piso en venta en calle Camas, 2",BUTARQUE,108,3,Calle Camas 2,BARAJAS,960,8,320,,5fee53bf-233d-4681-9c08-1b1949b3a207,2d7ab67f-f939-4d30-96a5-5a17b8f4ba4a,580c34b5-9bc5-455a-b347-99d77ba2f924,26b13120-6a4e-4bab-9bcd-8fea05fa689f
"Ático en venta en calle Ganados del Salobral , 12",BUTARQUE,111,2,Calle Ganados del Salobral 12,BARAJAS,1011,9,505,,ef8663f3-2458-4174-81b0-13719837cedc,61e968b9-c0b7-4b7e-8fa0-3d7cff255387,656df2d1-8eaa-4430-b56f-c4ce4bb0a6b8,c9081d5f-7482-4259-a0d5-e3a72769dbf9
"Piso en venta en calle Ganados del Salobral , 12",BUTARQUE,115,3,Calle Ganados del Salobral 12,BARAJAS,1020,8,340,,8ea7d17f-e234-4bc1-ab7e-9608ab3575db,8be48994-f40b-4259-90ca-19e73c9eb233,d5431f77-56ca-434e-8154-cc84a1e6fc65,30c5e33c-8303-4429-b5f3-727488dbedc6
"Piso en venta en calle Ganados del Salobral , 12",BUTARQUE,115,3,Calle Ganados del Salobral 12,BARAJAS,1011,8,337,,1df6c0c5-ff64-462c-bb48-9850b3b34252,630d6fc8-6d57-43a9-9036-9dd0df1c03f7,02816417-6592-4420-a1dc-71a43d38ed76,71604e67-4677-417c-af29-389742c5eac8
"Piso en venta en calle Ganados del Salobral , 12",BUTARQUE,117,3,Calle Ganados del Salobral 12,BARAJAS,1050,8,350,,a8214853-1c13-4f32-808d-87dd07902529,9cb93156-99ee-49b0-babd-ae9ea85caf1a,69cbee8e-3786-49dd-9025-5f1ce9155e08,830c95f7-07f4-4b09-8ac0-5a2d1448ea45
"Piso en venta en calle Ganados del Salobral , 12",BUTARQUE,117,3,Calle Ganados del Salobral 12,BARAJAS,1048,8,349,,7a632a3a-59d3-4f5a-92db-2485483d48a6,cf9c34e3-febe-4cec-b237-4853e9a435b6,476ed58e-4ef6-4296-aa7d-b48e7d8b8d2e,5927b534-5a2a-4818-b32f-84cf4fdc4713
"Piso en venta en calle Ganados del Salobral , 12",BUTARQUE,117,3,Calle Ganados del Salobral 12,BARAJAS,1052,8,350,,e92e21fe-3b26-411b-9fb3-174135a2003e,6c1bef57-7ed3-4d13-80bd-ecc2d741bc26,6bf17f6e-60e4-4de6-bcb4-519499e5256a,fa77a253-d1b8-4d04-bd50-291d42fec144
