last_reported,station_id,num_bikes_available,num_docks_available,is_installed,is_renting,is_returning,name,lat,lon,capacity
2024-09-01T00:25:00Z,71,14,26,true,true,true,kevin street,53.337757,-6.2676992,40
2024-09-01T00:25:00Z,76,1,37,true,true,true,market street south,53.342297,-6.287661,38
2024-09-01T00:25:00Z,78,3,37,true,true,true,mater hospital,53.359966,-6.264828,40
2024-09-01T00:25:00Z,82,3,19,true,true,true,mount brown,53.341644,-6.29719,22
2024-09-01T00:25:00Z,85,3,32,true,true,true,rothe abbey,53.338776,-6.30395,35
2024-09-01T00:25:00Z,86,38,0,true,true,true,parkgate street,53.347973,-6.291804,38
2024-09-01T00:25:00Z,92,38,2,true,true,true,heuston bridge (north),53.3478,-6.292432,40
2024-09-01T00:25:00Z,93,32,8,true,true,true,heuston station (central),53.346603,-6.296924,40
2024-09-01T00:25:00Z,96,7,23,true,true,true,kilmainham lane,53.341805,-6.305085,30
2024-09-01T00:30:00Z,1,25,6,true,true,true,clarendon row,53.340927,-6.262501,31
2024-09-01T00:30:00Z,10,15,1,true,true,true,dame street,53.344006,-6.266802,16
2024-09-01T00:30:00Z,102,3,37,true,true,true,western way,53.35493,-6.269425,40
2024-09-01T00:30:00Z,103,0,40,true,true,true,grangegorman lower (south),53.354664,-6.278681,40
2024-09-01T00:30:00Z,104,0,40,true,true,true,grangegorman lower (central),53.35517,-6.278424,40
2024-09-01T00:30:00Z,105,0,36,true,true,true,grangegorman lower (north),53.355953,-6.278378,36
2024-09-01T00:30:00Z,108,2,33,true,true,true,avondale road,53.359406,-6.276142,35
2024-09-01T00:30:00Z,109,21,8,true,true,true,buckingham street lower,53.353333,-6.249319,29
2024-09-01T00:30:00Z,110,4,36,true,true,true,phibsborough road,53.356308,-6.273717,40
2024-09-01T00:30:00Z,115,24,6,true,true,true,killarney street,53.354843,-6.247579,30
2024-09-01T00:30:00Z,13,3,27,true,true,true,fitzwilliam square west,53.336075,-6.252825,30
2024-09-01T00:30:00Z,15,5,11,true,true,true,hardwicke street,53.355473,-6.264423,16
