num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2024S021534;06/07/2024;23:23:00;GTA. DE RUIZ GIMENEZ 4;24;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;440168;4475676;N;NULL
2024S021535;07/07/2024;1:05:00;CALL. MARIA DE MOLINA / CALL. NUÑEZ DE BALBOA;48;4;SALAMANCA;Colisión fronto-lateral;Despejado;Otros vehículos con motor;Conductor;De 45 a 49 años;Hombre;NULL;NULL;442183;4476543;N;NULL
2024S021535;07/07/2024;1:05:00;CALL. MARIA DE MOLINA / CALL. NUÑEZ DE BALBOA;48;4;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 30 a 34 años;Mujer;NULL;NULL;442183;4476543;N;NULL
2024S021535;07/07/2024;1:05:00;CALL. MARIA DE MOLINA / CALL. NUÑEZ DE BALBOA;48;4;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 45 a 49 años;Hombre;NULL;NULL;442183;4476543;N;NULL
2024S021535;07/07/2024;1:05:00;CALL. MARIA DE MOLINA / CALL. NUÑEZ DE BALBOA;48;4;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 30 a 34 años;Mujer;NULL;NULL;442183;4476543;N;NULL
2024S021537;07/07/2024;0:45:00;PASEO. CASTELLANA, 136;136;5;CHAMARTÍN;Alcance;Despejado;Motocicleta > 125cc;Conductor;De 50 a 54 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441432;4478076;N;NULL
2024S021537;07/07/2024;0:45:00;PASEO. CASTELLANA, 136;136;5;CHAMARTÍN;Alcance;Despejado;Motocicleta > 125cc;Pasajero;De 45 a 49 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;441432;4478076;N;NULL
2024S021537;07/07/2024;0:45:00;PASEO. CASTELLANA, 136;136;5;CHAMARTÍN;Alcance;Despejado;Turismo;Conductor;De 25 a 29 años;Mujer;14;Sin asistencia sanitaria;441432;4478076;N;NULL
2024S021537;07/07/2024;0:45:00;PASEO. CASTELLANA, 136;136;5;CHAMARTÍN;Alcance;Despejado;Turismo;Pasajero;De 25 a 29 años;Mujer;14;Sin asistencia sanitaria;441432;4478076;N;NULL
2024S021539;07/07/2024;2:05:00;CALL. ROCAFORT, 53;53;17;VILLAVERDE;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;NULL;NULL;441705;4465991;N;NULL
