num_expediente,fecha,hora,timestamp,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,coordenadas,positiva_alcohol,positiva_droga
2024S000118,18/06/2024,11:20:00,2024-06-18T11:20:00Z,CALL. ALCALA / IDB. PUENTE DE VENTAS,235,4,SALAMANCA,Colisión fronto-lateral,Despejado,Motocicleta > 125cc,Pasajero,De 45 a 49 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,443924.021,4475858.603,"443924.021, 4475858.603",0,0
2024S000118,18/06/2024,11:20:00,2024-06-18T11:20:00Z,CALL. ALCALA / IDB. PUENTE DE VENTAS,235,4,SALAMANCA,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 50 a 54 años,Mujer,14,Sin asistencia sanitaria,443924.021,4475858.603,"443924.021, 4475858.603",1,0
2024S020045,18/06/2024,2:00:00,2024-06-18T02:00:00Z,"CALL. ARROYO DE LA MEDIA LEGUA, 72",72,14,MORATALAZ,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 35 a 39 años,Hombre,4,Fallecido 24 horas,444740.251,4474005.067,"444740.251, 4474005.067",0,0
2024S020046,18/06/2024,0:05:00,2024-06-18T00:05:00Z,CALL. NUÑEZ DE BALBOA / CALL. GENERAL ORAA,112,4,SALAMANCA,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 25 a 29 años,Mujer,77,Se desconoce,442166.67,4476386.166,"442166.67, 4476386.166",0,0
2024S020046,18/06/2024,0:05:00,2024-06-18T00:05:00Z,CALL. NUÑEZ DE BALBOA / CALL. GENERAL ORAA,112,4,SALAMANCA,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 30 a 34 años,Hombre,77,Se desconoce,442166.67,4476386.166,"442166.67, 4476386.166",0,0
2024S020048,18/06/2024,4:05:00,2024-06-18T04:05:00Z,"PASEO. CASTELLANA, 63",63,7,CHAMBERÍ,Caída,Despejado,VMU eléctrico,Conductor,De 18 a 20 años,Hombre,77,Se desconoce,441300.129,4477114.922,"441300.129, 4477114.922",0,0
2024S020054,18/06/2024,7:05:00,2024-06-18T07:05:00Z,"CALL. JOAQUIN LORENZO, 54",54,8,FUENCARRAL-EL PARDO,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 65 a 69 años,Hombre,14,Sin asistencia sanitaria,438149.196,4480695.214,"438149.196, 4480695.214",1,0
2024S020054,18/06/2024,7:05:00,2024-06-18T07:05:00Z,"CALL. JOAQUIN LORENZO, 54",54,8,FUENCARRAL-EL PARDO,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,77,Se desconoce,438149.196,4480695.214,"438149.196, 4480695.214",0,0
2024S020056,18/06/2024,14:30:00,2024-06-18T14:30:00Z,CALL. AGES / AVDA. CAMINO DE SANTIAGO,2,8,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 21 a 24 años,Hombre,77,Se desconoce,442978.501,4483993.836,"442978.501, 4483993.836",0,0
2024S020056,18/06/2024,14:30:00,2024-06-18T14:30:00Z,CALL. AGES / AVDA. CAMINO DE SANTIAGO,2,8,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 25 a 29 años,Hombre,77,Se desconoce,442978.501,4483993.836,"442978.501, 4483993.836",0,0
